name;Sample;seed_point_spacing;struts_diameter;relative_density_CAD;feature_size_mm_CAD;feature_size_um_CAD;feature_size_mm_sample;feature_size_um_sample;contatced_area_mm2_CAD;contatced_area_ratio_CAD;contacted_area_sample_mm2;contacted_ratio_sample;STATIC_COF;DYNAMIC_COF;WEAR
0;control;;;1.000000;;;;;1963495375.000000;1.000000;1963495375.000000;1.000000;0.241733;0.217783;4.809667
1;4035;0.400000;0.350000;0.963635;0.096957;9695743.000000;0.159032;1590324459.000000;1787192976.000000;0.910210;1686196632.000000;0.858773;0.169800;0.131675;0.785725
2;5035;0.500000;0.350000;0.908426;0.161003;16100265.000000;0.208041;2080412109.666667;1657693551.000000;0.844256;1412598082.333333;0.719430;0.208617;0.164404;0.422157
3;6035;0.600000;0.350000;0.772684;0.262365;26236534.000000;0.238481;2384811697.666667;1475377047.000000;0.751403;940022362.666667;0.695625;0.136733;0.119872;0.520638
4;7035;0.700000;0.350000;0.672728;0.330990;33099017.000000;0.293395;2933948591.000000;1326080868.000000;0.675367;1323860328.000000;0.674237;0.158483;0.127396;0.359427
5;403;0.400000;0.300000;0.961668;0.113695;11369453.000000;0.148230;1482303227.000000;1744060615.000000;0.888243;1197918390.333333;0.871882;0.173700;0.152191;0.522149
6;503;0.500000;0.300000;0.803080;0.216755;21675511.000000;0.197981;1281861166.666667;1495439529.000000;0.761621;1079544346.000000;0.763696;0.225750;0.193600;0.713000
7;603;0.600000;0.300000;0.673411;0.305545;30554456.000000;0.285459;2854593697.666667;133418917.000000;0.679497;1200524497.000000;0.611422;0.150817;0.141649;0.499597
8;703;0.700000;0.300000;0.555684;0.367299;3672991.000000;0.335794;2546239690.666667;1212514364.000000;0.617529;3884222544.333333;0.559995;0.212717;0.191181;0.455929
9;3025;0.300000;0.250000;0.963667;0.079481;7948137.000000;0.196861;1968613797.500000;1822270899.000000;0.928075;1553868203.000000;0.791379;0.205200;0.187400;53.118500
10;4025;0.400000;0.250000;0.839560;0.161547;16154717.000000;0.170170;1701696185.000000;160582268.000000;0.817839;1598881418.666667;0.814304;0.179800;0.175226;0.665315
11;5025;0.500000;0.250000;0.678458;0.221474;22147354.000000;0.220089;2200894444.000000;1411399382.000000;0.718820;963982985.333333;0.726159;0.186417;0.152424;0.632018
12;6025;0.600000;0.250000;0.546190;0.337399;33739944.000000;0.343088;3430883969.666667;1198779086.000000;0.610533;1181229209.333333;0.601595;0.166883;0.123728;0.515388
13;2202;0.200000;0.200000;0.984582;0.061290;6129032.000000;0.189740;1897396868.333333;1880145791.000000;0.957550;1620353552.000000;0.825239;0.161117;0.129327;0.440054
14;302;0.300000;0.200000;0.930833;0.115853;1158528.000000;0.198312;1983117932.000000;1683998851.000000;0.857654;1407899986.000000;0.717038;0.179975;0.147725;0.569975
15;402;0.400000;0.200000;0.685108;0.211890;21189003.000000;0.267198;2049471558.333333;1384817581.000000;0.705282;1268864621.333333;0.646227;0.192325;0.156175;0.490000
16;502;0.500000;0.200000;0.528113;0.293039;29303892.000000;0.297637;1635243035.500000;1182860529.000000;0.602426;660553332.000000;0.656337;0.253750;0.195375;53.877000
