name,Sample,seed_point_spacing,struts_diameter,relative_density_CAD,feature_size_mm_CAD,feature_size_um_CAD,feature_size_mm_sample,feature_size_um_sample,contatced_area_mm2_CAD,contatced_area_ratio_CAD,contacted_area_sample_mm2,contacted_ratio_sample,STATIC_COF,DYNAMIC_COF,WEAR,RR_STATIC_COF,RR_DYNAMIC_COF,RR_WEAR
0,control,,,1.0,,,,,1963495375.0,1.0,1963495375.0,1.0,0.241733,0.217783,1.105,0.0,0.0,0.0
1,4035,0.4,0.35,0.963635,0.096957,9695743.0,0.159032,1590324459.0,1787192976.0,0.91021,1686196632.0,0.858773,0.1698,0.131675,0.785725,0.29757211468851996,0.39538439639457634,0.2889366515837104
2,5035,0.5,0.35,0.908426,0.161003,16100265.0,0.208041,2080412109.666667,1657693551.0,0.844256,1412598082.333333,0.71943,0.208617,0.164404,0.422157,0.13699412161351576,0.2451017756206867,0.6179574660633484
3,6035,0.6,0.35,0.772684,0.262365,26236534.0,0.238481,2384811697.666667,1475377047.0,0.751403,1339061085.5,0.695625,0.136733,0.119872,0.520638,0.43436353331981986,0.44958054577262685,0.5288343891402715
4,7035,0.7,0.35,0.672728,0.33099,33099017.0,0.293395,2933948591.0,1326080868.0,0.675367,1323860328.0,0.674237,0.13755,0.127396,0.359427,0.43098377135103605,0.4150323946313532,0.6747266968325792
5,403,0.4,0.3,0.961668,0.113695,11369453.0,0.14823,1482303227.0,1744060615.0,0.888243,1711207924.0,0.872792,0.1737,0.152191,0.522149,0.28143861202235526,0.3011805329157924,0.5274669683257919
6,503,0.5,0.3,0.80308,0.216755,21675511.0,0.197981,1806466830.5,1495439529.0,0.761621,1079544346.0,0.721158,0.22575,0.1936,0.713,0.06611840336238742,0.11104172501985926,0.3547511312217195
7,603,0.6,0.3,0.673411,0.305545,30554456.0,0.285459,2854593697.666667,133418917.0,0.679497,1200524497.0,0.611422,0.150817,0.141649,0.499597,0.37610090471718793,0.34958651501724197,0.5478760180995474
8,703,0.7,0.3,0.555684,0.367299,3672991.0,0.335794,2546239690.666667,1212514364.0,0.617529,1185209665.5,0.559995,0.212717,0.17525,0.455929,0.12003325983626568,0.1952999086246402,0.5873945701357466
9,3025,0.3,0.25,0.963667,0.079481,7948137.0,0.196861,1968613797.5,1822270899.0,0.928075,1553868203.0,0.791379,0.2052,0.1874,53.1185,0.15112955202640935,0.13951043010703312,0.5565610859728507
10,4025,0.4,0.25,0.83956,0.161547,16154717.0,0.17017,1701696185.0,160582268.0,0.817839,1598881418.666667,0.814304,0.1798,0.175226,0.665315,0.2562041591342515,0.1954101100636873,0.3979049773755656
11,5025,0.5,0.25,0.678458,0.221474,22147354.0,0.220089,2200894444.0,1411399382.0,0.71882,1369003465.0,0.726159,0.1681,0.152424,0.632018,0.30460466713274564,0.3001106606117098,0.4280380090497738
12,6025,0.6,0.25,0.54619,0.337399,33739944.0,0.343088,3430883969.666667,1198779086.0,0.610533,1181229209.333333,0.601595,0.166883,0.123728,0.515388,0.3096391473237001,0.43187484789905545,0.533585520361991
13,2202,0.2,0.2,0.984582,0.06129,6129032.0,0.18974,1897396868.333333,1880145791.0,0.95755,1620353552.0,0.825239,0.161117,0.129327,0.440054,0.33349191049629134,0.40616577051468666,0.6017610859728507
14,302,0.3,0.2,0.930833,0.115853,1158528.0,0.198312,1983117932.0,1683998851.0,0.857654,1407899986.0,0.717038,0.179975,0.147725,0.569975,0.2554802199120518,0.3216871840318115,0.4841855203619909
15,402,0.4,0.2,0.685108,0.21189,21189003.0,0.267198,2970455982.0,1384817581.0,0.705282,1268864621.333333,0.646227,0.192325,0.156175,0.49,0.20439079480253008,0.28288709403396955,0.5565610859728507
16,502,0.5,0.2,0.528113,0.293039,29303892.0,0.297637,1635243035.5,1182860529.0,0.602426,660553332.0,0.656337,0.25375,0.195375,53.877,-0.0497118721895644,0.102891410256999,0.5565610859728507
