name,Sample,mark,seed_point_spacing,struts_diameter,relative_density_CAD,feature_size_mm_CAD,feature_size_um_CAD,feature_size_mm_sample,feature_size_um_sample,contatced_area_mm2_CAD,contatced_area_ratio_CAD,contacted_area_sample_mm2,contacted_ratio_sample,STATIC_COF,DYNAMIC_COF,WEAR
0,control,,,,1,,,,,1.963.495.375,1,1.963.495.375,1,0.2318,0.20365,12.219
0,control,,,,1,,,,,1.963.495.375,1,1.963.495.375,1,0.2523,0.2343,1.027
0,control,,,,1,,,,,1.963.495.375,1,1.963.495.375,1,0.2411,0.2154,1.183
1,4035,1,0.4,0.35,0.963634745,0.09695743,9.695.743,0.205413374,2.054.133.735,1.787.192.976,0.910209924,1.542.048.201,0.785358713,0.13495,0.0842,1.034
1,4035,2,0.4,0.35,0.963634745,0.09695743,9.695.743,0.145897695,1.458.976.949,1.787.192.976,0.910209924,1.701.813.824,0.866726678,0.20465,0.17915,0.53745
1,4035,0,0.4,0.35,0.963634745,0.09695743,9.695.743,0.125786269,1.257.862.693,1.787.192.976,0.910209924,1.814.727.871,0.924233331,,,
2,5035,1,0.5,0.35,0.908426052,0.16100265,16.100.265,0.20626699,2.062.669.899,1.657.693.551,0.844256407,1.463.923.559,0.745570159,0.28505,0.2083,0.542
2,5035,2,0.5,0.35,0.908426052,0.16100265,16.100.265,0.249020187,2.490.201.872,1.657.693.551,0.844256407,1.260.663.651,0.642050736,0.191,0.15465,0.46395
2,5035,0,0.5,0.35,0.908426052,0.16100265,16.100.265,0.168836456,1.688.364.558,1.657.693.551,0.844256407,1.513.207.037,0.770670029,0.1498,0.13026087,0.260521739
3,6035,1,0.6,0.35,0.772683799,0.26236534,26.236.534,0.298708274,2.987.082.743,1.475.377.047,0.751403373,1.352.521.218,0.688833412,0.16085,0.15265,0.621
3,6035,2,0.6,0.35,0.772683799,0.26236534,26.236.534,0.214944572,2.149.445.725,1.475.377.047,0.751403373,141.944.917,0.722919538,0.20615,0.1694,0.847
3,6035,0,0.6,0.35,0.772683799,0.26236534,26.236.534,0.201790663,2.017.906.625,1.475.377.047,0.751403373,1.325.600.953,0.675123033,0.0432,0.037565217,0.093913043
4,7035,1,0.7,0.35,0.672728297,0.33099017,33.099.017,0.297573379,2.975.733.788,1.326.080.868,0.675367452,1.321.871.461,0.673223618,0.1347,0.08505,0.37
4,7035,2,0.7,0.35,0.672728297,0.33099017,33.099.017,0.289216339,2.892.163.394,1.326.080.868,0.675367452,1.325.849.195,0.675249461,0.20035,0.17505,0.52515
4,7035,0,0.7,0.35,0.672728297,0.33099017,33.099.017,,,1.326.080.868,0.675367452,,,0.1404,0.122086957,0.183130435
5,403,1,0.4,0.3,0.96166812,0.11369453,11.369.453,0.145539224,1.455.392.244,1.744.060.615,0.888242792,1.708.362.182,0.87006173,0.1698,0.15695,0.47085
5,403,2,0.4,0.3,0.96166812,0.11369453,11.369.453,0.164115958,1.641.159.584,1.744.060.615,0.888242792,1.714.053.666,0.872960379,0.197,0.16545,0.82725
5,403,0,0.4,0.3,0.96166812,0.11369453,11.369.453,0.135035785,1.350.357.853,1.744.060.615,0.888242792,171.339.323,0.872624021,0.1543,0.134173913,0.268347826
6,503,1,0.5,0.3,0.803080124,0.21675511,21.675.511,0.190002452,1.900.024.516,1.495.439.529,0.761621111,1.666.561.587,0.848772861,0.2251,0.20545,0.699
6,503,2,0.5,0.3,0.803080124,0.21675511,21.675.511,0.232649839,232.649.839,1.495.439.529,0.761621111,1.432.081.627,0.729353196,0.2264,0.18175,0.727
6,503,0,0.5,0.3,0.803080124,0.21675511,21.675.511,0.171290915,1.712.909.145,1.495.439.529,0.761621111,139.989.824,0.712962331,,,
7,603,1,0.6,0.3,0.673411493,0.30554456,30.554.456,0.278640259,2.786.402.589,133.418.917,0.679496976,1.215.553.054,0.619076097,0.16855,0.1609,0.62
7,603,2,0.6,0.3,0.673411493,0.30554456,30.554.456,0.309526908,3.095.269.082,133.418.917,0.679496976,1.201.441.843,0.611889316,0.1819,0.17535,0.7014
7,603,0,0.6,0.3,0.673411493,0.30554456,30.554.456,0.268210942,2.682.109.422,133.418.917,0.679496976,1.184.578.594,0.603300934,0.102,0.088695652,0.177391304
8,703,1,0.7,0.3,0.555683908,0.3672991,3.672.991,0.407310078,4.073.100.776,1.212.514.364,0.617528505,9.282.248.302,0.472741032,0.1775,0.1776,0.403
8,703,2,0.7,0.3,0.555683908,0.3672991,3.672.991,0.270565973,270.565.973,1.212.514.364,0.617528505,1.120.935.719,0.570887884,0.20415,0.1729,0.5187
8,703,0,0.7,0.3,0.555683908,0.3672991,3.672.991,0.329505232,3.295.052.323,1.212.514.364,0.617528505,1.249.483.612,0.636356789,0.2565,0.223043478,0.446086957
9,3025,1,0.3,0.25,0.963667031,0.07948137,7.948.137,0.175595598,1.755.955.977,1.822.270.899,0.928074964,1.607.821.234,0.818856644,0.1745,0.16345,0.562
9,3025,2,0.3,0.25,0.963667031,0.07948137,7.948.137,0.218127162,2.181.271.618,1.822.270.899,0.928074964,1.499.915.172,0.763900537,0.2359,0.21135,105.675
9,3025,0,0.3,0.25,0.963667031,0.07948137,7.948.137,,,1.822.270.899,0.928074964,,,,,
10,4025,1,0.4,0.25,0.839559619,0.16154717,16.154.717,0.233133053,2.331.330.528,160.582.268,0.817838789,1.405.859.534,0.715998394,0.1676,0.20195,0.761
10,4025,2,0.4,0.25,0.839559619,0.16154717,16.154.717,0.131318708,1.313.187.083,160.582.268,0.817838789,1.727.889.761,0.880007044,0.1953,0.17025,0.85125
10,4025,0,0.4,0.25,0.839559619,0.16154717,16.154.717,0.146057094,1.460.570.944,160.582.268,0.817838789,1.662.894.961,0.846905464,0.1765,0.153478261,0.383695652
11,5025,1,0.5,0.25,0.678457509,0.22147354,22.147.354,0.213828303,2.138.283.033,1.411.399.382,0.718819815,153.942.026,0.784020314,0.17,0.1284,0.613
11,5025,2,0.5,0.25,0.678457509,0.22147354,22.147.354,0.229461779,2.294.617.794,1.411.399.382,0.718819815,1.354.120.336,0.689647836,0.22305,0.18435,0.92175
11,5025,0,0.5,0.25,0.678457509,0.22147354,22.147.354,0.21697825,2.169.782.505,1.411.399.382,0.718819815,1.383.886.594,0.704807667,0.1662,0.144521739,0.361304348
12,6025,1,0.6,0.25,0.546190267,0.33739944,33.739.944,0.30701622,3.070.162.199,1.198.779.086,0.610533186,1.279.695.445,0.65174355,0.1689,0.083,0.699
12,6025,2,0.6,0.25,0.546190267,0.33739944,33.739.944,0.376774977,3.767.749.767,1.198.779.086,0.610533186,1.084.812.278,0.552490366,0.15605,0.1354,0.5416
12,6025,0,0.6,0.25,0.546190267,0.33739944,33.739.944,0.345473994,3.454.739.943,1.198.779.086,0.610533186,1.179.179.905,0.600551405,0.1757,0.152782609,0.305565217
13,2202,1,0.2,0.2,0.984581868,0.06129032,6.129.032,0.244533664,2.445.336.639,1.880.145.791,0.957550405,1.467.666.297,0.74747632,0.1496,0.09655,0.569
13,2202,2,0.2,0.2,0.984581868,0.06129032,6.129.032,0.190299471,1.902.994.707,1.880.145.791,0.957550405,1.568.038.163,0.798595292,0.19215,0.1683,0.5049
13,2202,0,0.2,0.2,0.984581868,0.06129032,6.129.032,0.134385926,1.343.859.259,1.880.145.791,0.957550405,1.825.356.196,0.929646293,0.1416,0.123130435,0.24626087
14,302,1,0.3,0.2,0.930832785,0.1158528,1.158.528,0.210686382,2.106.863.816,1.683.998.851,0.857653587,1.365.950.369,0.695672822,0.17585,0.1268,0.634
14,302,2,0.3,0.2,0.930832785,0.1158528,1.158.528,0.185937205,1.859.372.048,1.683.998.851,0.857653587,1.449.849.603,0.738402352,0.1841,0.16865,0.50595
14,302,0,0.3,0.2,0.930832785,0.1158528,1.158.528,,,1.683.998.851,0.857653587,,,,,
15,402,1,0.4,0.2,0.685108097,0.21189003,21.189.003,0.285862746,2.858.627.463,1.384.817.581,0.705281815,1.196.988.385,0.609621189,0.237,0.18085,0.454
15,402,2,0.4,0.2,0.685108097,0.21189003,21.189.003,0.30822845,3.082.284.501,1.384.817.581,0.705281815,1.065.347.748,0.542577162,0.14765,0.1315,0.526
15,402,0,0.4,0.2,0.685108097,0.21189003,21.189.003,0.207502711,207.502.711,1.384.817.581,0.705281815,1.544.257.731,0.786484018,,,
16,502,1,0.5,0.2,0.528112595,0.29303892,29.303.892,0.298027426,298.027.426,1.182.860.529,0.602425931,1.308.416.518,0.666371072,0.20805,0.1763,0.529
16,502,2,0.5,0.2,0.528112595,0.29303892,29.303.892,0.297245864,2.972.458.645,1.182.860.529,0.602425931,12.690.146,0.646303839,0.29945,0.21445,107.225
16,502,0,0.5,0.2,0.528112595,0.29303892,29.303.892,,,1.182.860.529,0.602425931,,,,,
